,video_title,view_count,like_count,comment_count,wikipedia_categories,duration_seconds,comments
0,Ed Sheeran - Shape of You ,6194581435,32579926.0,1151159,"Music, Pop music",264.0,"['Any Indian??? 👀', 'over)))))', '2024 ada orang yang masih mendengar🎉', 'Bangladesh 😊', 'Lovely ❤ 02:44', ""I wasn't here, but I'll be here on February 14th"", 'Lovee❤', 'Hala madrid ❤️\u200d🔥', ""I'm happy to have found this song that is loved by people all over the world.😊💞💐"", '7 febbraio 2024 ❤']"
1,Maroon 5 - Sugar ,4001321140,15999228.0,421222,"Music, Pop music",302.0,"['Pidir', '4 billion bro?!?! That half the people on earth?! (Bro’s a legend)', '😊🎉❤❤❤❤❤❤❤❤', '4  billion Views On YouTube', 'I randomly sing this all the time', 'Sorry, but the cooks expression of shock gets me to this day.', ""Good weddings and marriages I must say, crazy but I don't like this song. I heard this so much and don't like it ever"", ""Dude this man sounds like a woman it's so weird"", 'Good wedding and marriage I must say but the song sounds weird', 'Never heard or seen this before lol and it has 4 billion views\n\nEdit: nope never mind. I heard this heaps of times. Like too much. I recognised it at 0:43']"
2,Shakira - Waka Waka ,3849148681,22158026.0,1323737,"Music, Music of Latin America, Pop music",211.0,"['https://youtube.com/@TheballerChannel-nf7mj?si=-ZnJt1UFQMaLIqCU', '0:28 look young Ronaldo Young Messi 😅🐐🐐', 'Who watching in 2025 ?😁🎉', 'Mama\nHalo', 'Waka Waka eeeeee❤❤', 'いいね', '0:59', ""Og' s are still listening in 8th feb 2024 and still feels the same as the day release 🔝"", 'Love from India 🇮🇳', 'The old footballers give me nostalgia old Messi was gold']"
3,Ed Sheeran - Thinking Out Loud ,3727954531,15015651.0,373270,"Music, Pop music",297.0,"['We love❤❤Ed sheeran', 'Learning how to dance at 40! ❤2024 loving it still!!', '😍😍😍', '2024🎉', ""I'm single anyone there ? \nAccording to the song we found love where we are that's why am telling😊.."", '2001 September 11 still a banger', '9 years later still a masterpiece', ""I think you're my Angel ❤"", ""When your legs don't work like they used to before\nAnd I can't sweep you off of your feet\nWill your mouth still remember the taste of my love\nWill your eyes still smile from your cheeks\nAnd darling I will be loving you 'til we're 70\nAnd baby my heart could still fall as hard at 23\nAnd I'm thinking 'bout how people fall in love in mysterious ways\nMaybe just the touch of a hand\nOh me I fall in love with you every single day\nAnd I just wanna tell you I am\nSo honey now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart\nI'm thinking out loud\nMaybe we found love right where we are\nWhen my hair's all but gone and my memory fades\nAnd the crowds don't remember my name\nWhen my hands don't play the strings the same way, mm\nI know you will still love me the same\n'Cause honey your soul can never grow old, it's evergreen\nBaby your smile's forever in my mind and memory\nI'm thinking 'bout how people fall in love in mysterious ways\nMaybe it's all part of a plan\nI'll just keep on making the same mistakes\nHoping that you'll understand\nBut baby now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart\nI'm thinking out loud\nThat maybe we found love right where we are, oh\nSo baby now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nOh darling, place your head on my beating heart\nI'm thinking out loud\nThat maybe we found love right where we are\nOh baby, we found love right where we are (maybe)\nAnd we found love right where we are"", 'https://youtu.be/CxBbw8eT624?si=TZU8S7XiX-BOS-4g']"
4,Ed Sheeran - Perfect ,3663283729,20788644.0,517411,"Music, Pop music",280.0,"['When I listen everytime this song make my mood perfect ❤️✨🍂❄️', 'Our story was same but the ending was different', '❤hermosa cancion, me encanta,me encanta,me encanta', 'I love your sing❤❤❤❤❤❤', '❤ 1:06', 'After breakup I realise no one is perfect 😊', 'When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In The Sky” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕😊', 'Beautiful  song', ""What's so special in this song that it has been 6 long years listening this masterpiece but every time it feels like I am listening for the first time❤"", 'Anyone in 2025?']"
5,Maroon 5 - Girls Like You,3555877954,21519642.0,662781,"Music, Pop music",271.0,"['Hi guys in 2024 imagine people listening this music in 2050 🌎', 'SO MUCH NASTOLGIA BRUH 😢😢GRTVEJIHUBEVFEJBIYUEWFFIUNYGEFWFVHNIUCEDWF EDWHNG GHGIYUESFVBIJYUVFDBGHIUJERUGGYFU', 'Wow nice song ❤❤❤❤', 'sh goes hard on mute', ""Cardi is the best woman' rapper ❤❤❤"", 'Good', '07/02/2024.... Still here listening to this master piece❤❤❤❤❤', 'This song and Sugar by Maroon 5 is so well heard and kind of iconic', 'My songs much better 👀', 'Frl this song reminds me of my childhood  2024 we here 😁🤍']"
6,Major Lazer &amp; DJ Snake - Lean On ,3543081973,17099047.0,454935,"Electronic music, Music, Music of Asia, Pop music",179.0,"['MUSIC IS THE WEAPON OUT NOW: https://smarturl.it/MITW', 'i like it music.😘😘😘', 'could we bring this song back in summer 2024?? please', 'Forever legendary 1️⃣', 'https://youtube.com/@angel_hurtado_r?si=KGxl1KVTRzAHpJkr', 'The dancing is cringe 😢', 'Miss the times...', 'The music will bring us come together. Thank you so much for sharing this mix ❤❤❤', 'Do you recall, not long ago, this song was all you listened to?', 'Fun fact .. this song was originally for Rihanna but she turned it down 😮']"
7,Adele - Hello ,3123055001,18711818.0,947202,"Christian music, Music, Pop music",367.0,"['2024 anyone', '💜💙💜..Hello..💜💙💜\nAnyone here from Bangladesh..???🇧🇩🇧🇩🇧🇩', '2024 anyone ?', 'omg', ""Hello it's me 😭"", 'Wait 2015😮?', '2027 anyone?', '留下足迹', 'You’re a fraud', 'Your a fraud']"
8,Dua Lipa - New Rules ,3004176294,17453799.0,378861,"Music, Pop music",225.0,"['Thank you to all friends old and new, to love, happiness and keeping an open heart. WELCOME TO FUTURE NOSTALGIA 🔐🌕💛 out now on all streaming services!!!!!! https://dualipa.co/futurenostalgia', 'Overrated', ""nice song and also ure all beautiful lady's"", 'Acá no usan jabón entiendo xd😂😂😂', 'Coração tudo por verdadeirinho\nMas vc tem que prestar o cigarro em prestavo\nNão tem que o coração tudo por verdadeirinho.\nE parar de ser assim não\nMas não tem que como vc parar de ser assim não faz meu coração tudo por inteiro mas e pra mim é\nMas faz meu coração tudo por inteirinho tudo tudinho o coração de verdadeirinho Zinho por inteiro\nTudo por inteiro o coração tudo por inteirinho\nFaz ele mamãe do céu fazer eu feliz', 'This music sucks donkey ballzz!!', 'Eu lembrando do mundo da ane Malu kkk', 'Who watching this year 2024 ❤', 'New rules and new rules very complicated', '3BILLION VIEWS CONGRATS🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉']"
9,Bruno Mars - The Lazy Song ,2704092791,14606344.0,544204,"Music, Pop music",200.0,"['Today’s ma’ birthday and I’m not doing anything 🍺', 'this song is 🔛🔝', 'Michael Jackson 😂', '❤❤❤❤❤❤', 'No Matter how many years pass this Song Will stay in our hearts Forever ❤', 'Scimmia 😂😂🙈🙈🙊🙊 monkey', 'Uno dei migliori del pianeta', 'La migliore canzone del mondo 👍👍👍👍👍👍👍', '2024😂🙊😎', 'Il migliore ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️']"
