,video_id,title,channel_id,channel_title,view_count,comment_count,wikipedia_categories,duration,comments
0,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S,"['Appreciate all the love…but what’s your favorite line?? 😈', 'Bad bitch music 🦋🥶💋', 'This affirmation female rap I need to rebuild my self esteem this had me so hype and confident on my bday yesterday ❤❤❤', '❤❤❤i always felt like she was just having fun making music then people start talking they bs and she comes with a freestyle to let us know I can bring these bars❤❤❤❤❤I love all her work I love she has fun and not so serious with it', 'I loved your last EP!! ❤ 😂😂😂❤  STRAIGHT WESTCOAST', 'she should model, love her as a person but she never gives me nothing w/ the bars', ""❤❤🎉❤KNOW THAT'S Riight🎉🎉"", 'This beat sounds like a Megan on  "" bongos""', 'Yall artist don’t be making music we can listen to in the car this was trash !', '🇯🇲']"
1,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S,"['Appreciate all the love…but what’s your favorite line?? 😈', 'Bad bitch music 🦋🥶💋', 'This affirmation female rap I need to rebuild my self esteem this had me so hype and confident on my bday yesterday ❤❤❤', '❤❤❤i always felt like she was just having fun making music then people start talking they bs and she comes with a freestyle to let us know I can bring these bars❤❤❤❤❤I love all her work I love she has fun and not so serious with it', 'I loved your last EP!! ❤ 😂😂😂❤  STRAIGHT WESTCOAST', 'she should model, love her as a person but she never gives me nothing w/ the bars', ""❤❤🎉❤KNOW THAT'S Riight🎉🎉"", 'This beat sounds like a Megan on  "" bongos""', 'Yall artist don’t be making music we can listen to in the car this was trash !', '🇯🇲']"
2,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S,"['Appreciate all the love…but what’s your favorite line?? 😈', 'Bad bitch music 🦋🥶💋', 'This affirmation female rap I need to rebuild my self esteem this had me so hype and confident on my bday yesterday ❤❤❤', '❤❤❤i always felt like she was just having fun making music then people start talking they bs and she comes with a freestyle to let us know I can bring these bars❤❤❤❤❤I love all her work I love she has fun and not so serious with it', 'I loved your last EP!! ❤ 😂😂😂❤  STRAIGHT WESTCOAST', 'she should model, love her as a person but she never gives me nothing w/ the bars', ""❤❤🎉❤KNOW THAT'S Riight🎉🎉"", 'This beat sounds like a Megan on  "" bongos""', 'Yall artist don’t be making music we can listen to in the car this was trash !', '🇯🇲']"
3,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S,"['Appreciate all the love…but what’s your favorite line?? 😈', 'Bad bitch music 🦋🥶💋', 'This affirmation female rap I need to rebuild my self esteem this had me so hype and confident on my bday yesterday ❤❤❤', '❤❤❤i always felt like she was just having fun making music then people start talking they bs and she comes with a freestyle to let us know I can bring these bars❤❤❤❤❤I love all her work I love she has fun and not so serious with it', 'I loved your last EP!! ❤ 😂😂😂❤  STRAIGHT WESTCOAST', 'she should model, love her as a person but she never gives me nothing w/ the bars', ""❤❤🎉❤KNOW THAT'S Riight🎉🎉"", 'This beat sounds like a Megan on  "" bongos""', 'Yall artist don’t be making music we can listen to in the car this was trash !', '🇯🇲']"
4,SSLPIT5Hi5w,Aidonia - Bottles | Official Music Video,UCG2QFlHjY3yAPLXbzH3_vSQ,AidoniaVEVO,239280,1646,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S,"['Aidonia on street vybz in 2024 is crazy lol', 'Aidonia you flow on lyrics a beat dem bad', 'Have this pon me status right now', 'Brrrp', 'Been some time waiting for the real aidonia we got a glimpse on this track ... welcome back 4th Genna', 'Happy to see vybz kartel big son fu(king up the street vybz Riddim kartel new tribute song by me https://youtu.be/EcN984KfeGc?si=xWoAvkf7_SLrTW77 #freevybzkartel', '🔥🔥🔥💃', '🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥', '📈📈🔥🔥🔥🔥#Trendingvybzent', 'de sickest DJ of his generation!']"
5,1g_fHPyC974,Punsang Appun // Teaser Brishtisikha // Banmali //  New Mising Official Music Video Coming Son 2023,UC_I_VcN-MM9TtMXepCYUqYg,STUDIO OBONORI,232401,64,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT17S,"['❤❤❤❤❤❤❤❤❤', '😂😂😂😂', 'Nice', 'Mojaaaaa lagise', 'Hii', 'Mojja lagib tuk', 'Moja❤❤', 'Nice❤❤🎉🎉🎉', 'I love  you❤', 'Majjaa👍🤩🥰😎🔥🔥🔥']"
6,l0_OFC10hTE,Guns N&#39; Roses - The General (Official Music Video),UCIak6JLVOjqhStxrL1Lcytw,Guns N' Roses,227050,1860,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M24S,"['No se ustedes pero a mi me gustó', 'What si this shit? 🤢🤮', ""No deseo que los Guns N' Roses sean los mismos de los 80's y principios de los 90's, pero sí que hagan buena música. Esta no fue la ocasión para mis gustos. No obstante, el video estuvo genial."", 'Te amo guns pero esto fue demasiado experimental para mi. Vamos por el hard rock clasico .', 'Sou um fan há 21 anos que escuto Guns, obrigado!  😎', 'Beautiful song. I loved it.', 'Q a pasado ahorra 🎉😢❤', 'No se… 😅 espero que me guste mas adelante', 'Šta je bre ovo?', 'Thank you from Abilene, Texas.']"
7,AnnRwkxi4mg,Joseph Attieh - Hadder Halak [Official Music Video] (2024) / جوزيف عطية - حضر حالك,UCqEQp8OWk2p2fWBZjyscZUA,Joseph Attieh,226096,366,['https://en.wikipedia.org/wiki/Music'],PT4M17S,"['😍😍😍😍😍', 'حلوه الاغنيه كتير بس ماعرفنا باي لهجة عم يغني', '❤❤❤', 'حلو كتير استاذ', 'الغنية كلمات ولحن حلو بس الكليب مو كتير لائق', 'أجمل صوت مرّ على تاريخ ستار أكاديمي هو جوزيف عطية .', 'لماذا لم تصل هذه الأغنية الجميلة للمليون لحدّ الآن ؟', 'هذه الأغنية خليجية لو لبنانية؟', 'المرأة صادقة في الحب وإذا خانت يعني أنّها ما حبّت أبدا ، والمفروض الرّجل ينتبه لها لأنّ المرأة سهل اكتشافها إذا كانت تحب أولا ، أمّا الرّجل صعب كثير اكتشافه .', 'المرأة إذا خانت يعني أنّها لم تحب الذي خانته أبدا ، فالتي تحب صح مستحيل تخون  ، حتّى لو تزوّجت بآخر  يبقى ذلك الحب ذكرى في عقلها وقلبها ، عكس الرّجل متى أتيحت له فرصة الخيانة يخون دون تردد .']"
8,ysftXz2INGs,Soulja - Ronaldo (Official Music Video) | سولجا - رونالدو,UCU-3aVH2u__JEZFCXShiRTQ,SOULJA - سولجا,237983,900,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M7S,"['وحش ‼️⚔️🦅📍❤', 'من متابعينك ❤❤❤❤ومتمنى أكون الأول 😁❤', 'اقسم بالله استمتع منك عدييييل ي سولجا والله ابدعت ❤', 'السعودية بلاكبي & رهمان\nالسودان سولجا & 77 🔥🔥\n\n#باد_ستار_راب', 'رونالدو اللعبه دي🎤🎧🎤🎧', '\u200f\u202a1:13\u202c\u200f ❤️\u200d🔥', 'مكنةة❤', 'مكتب لي ستعه سبعه ❤', 'Dopppee 💫', 'تراك من المووووت❤❤❤']"
9,Upi2cBoGwnM,শিকারী -  Itz Kabbo (Official Music Video) 🔥 Free Fire Bangla Rap Song 2024,UCE-8FgcXvnAsb2EG1FizSyg,Itz Kabbo,210916,4728,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M33S,"['কি এইবার পছন্দ হওয়ার মতো গান হয়েছে তোহ ?? ভাঙচুর আকারে এবার Share কর আর বাজাতে থাক 🖤', 'vai last song theke onk valo lagse.EK KOTHAI 💥💥💥🔥🔥🔥', 'Boga', 'পুরাই আগুন কাব্য ভাই 🔥🔥🔥', 'সুন্দর ❤', 'স্কিল ই তু নাই 😂', 'Joss ❤', 'Boom 🤯', ""1000 times Better than overrated shit jairalok's rap."", 'Sera hoice bro 🔥🤩']"
