,video_id,title,channel_id,channel_title,view_count,comment_count,wikipedia_categories,duration
0,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S
1,vVLl0xI_qD0,Saweetie - IMMORTAL FREESTYLE (Official Music Video),UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,242394,1808,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M11S
2,SSLPIT5Hi5w,Aidonia - Bottles | Official Music Video,UCG2QFlHjY3yAPLXbzH3_vSQ,AidoniaVEVO,239280,1646,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S
3,1g_fHPyC974,Punsang Appun // Teaser Brishtisikha // Banmali //  New Mising Official Music Video Coming Son 2023,UC_I_VcN-MM9TtMXepCYUqYg,STUDIO OBONORI,232401,64,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT17S
4,l0_OFC10hTE,Guns N&#39; Roses - The General (Official Music Video),UCIak6JLVOjqhStxrL1Lcytw,Guns N' Roses,227050,1860,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M24S
5,AnnRwkxi4mg,Joseph Attieh - Hadder Halak [Official Music Video] (2024) / جوزيف عطية - حضر حالك,UCqEQp8OWk2p2fWBZjyscZUA,Joseph Attieh,226096,366,['https://en.wikipedia.org/wiki/Music'],PT4M17S
6,ysftXz2INGs,Soulja - Ronaldo (Official Music Video) | سولجا - رونالدو,UCU-3aVH2u__JEZFCXShiRTQ,SOULJA - سولجا,237983,900,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M7S
7,Upi2cBoGwnM,শিকারী -  Itz Kabbo (Official Music Video) 🔥 Free Fire Bangla Rap Song 2024,UCE-8FgcXvnAsb2EG1FizSyg,Itz Kabbo,210916,4728,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M33S
8,CKmEJCnP7sc,Tenside - PRETTY LONESOME (Official Music Video),UC4CqRoWPK6LEXNwSWm56TWQ,Tenside,242024,26,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M53S
9,k2oCfQ5QOIk,tlinh - đừng làm nó phức tạp | OFFICIAL MUSIC VIDEO,UC3O-gNkOsgemkuhuAopEGbA,tlinh,790483,795,['https://en.wikipedia.org/wiki/Music'],PT7M18S
