video_id,like_count,view_count,comment_count
kJQP7kiw5Fk,52533847,8327127154,4228063
JGwWNGJdvx8,32320240,6148732491,1146075
RgKAFK5djSk,42258883,6108185385,2176937
OPf0YbXqDm0,21085058,5097988038,605147
09R8_2nJtjg,15906116,3972473469,418271
hT_nvWreIhg,17489708,3926960087,488655
CevxZvSJLk8,16594997,3918320627,774303
pRpeEdMmmQ0,21934549,3795172788,1314183
fRh_vgS2dFE,16305640,3741329014,868531
lp-EO5I60KA,14911693,3699733718,372136
0KSOMA3QBU0,17282713,3635279257,801321
2Vv-BfVoq4g,20498013,3611097578,508382
60ItHLz5WEA,27563192,3555228042,1264775
aJOTlE1K90k,21430988,3527008136,662049
YqeW9_5kURI,16946999,3506837260,454032
nfWlot6h_JM,13069455,3372852786,574286
e-ORhEE9VVg,15191556,3319105724,641000
YQHsXMglC9A,18651118,3110738508,945037
3AtDnEC4zak,14259521,3089393831,404528
kffacxfA7G4,24506833,3058864671,4820255
k2qgadSvNyU,17330240,2972858140,376986
papuvlVeZg8,13828651,2873311457,303856
pXRviuL6vMY,18886572,2784415949,627998
fLexgOxsZu0,14473206,2671294644,537150
2vjPBrBU-TM,12906340,2658200323,583384
7wtfhZwyrcc,21479024,2556153756,626721
PIh2xe4jnpk,11636081,2437125050,252290
rYEDA3JcQqw,12685022,2399824954,422982
rtOvBOTyX00,14681818,2368673507,497533
34Na4j8AVgA,11585288,2347970484,397366
lWA2pjMjpBs,11091175,2266721102,405787
YBHQbu5rbdQ,11711593,2231272959,338253
PMivT7MJ41M,13197111,2228327967,385455
8UVNT4wvIGY,15527800,2193321765,810205
IHNzOHi8sJs,23564140,2147716349,3274583
l0U7SxXHkPY,10075520,2144173520,226586
hLQl3WQQoQ0,10368669,2118267584,359639
tt2k8PGm-TI,14821504,2077217184,406998
q0hyYWKXF0Q,15480865,2074695569,377385
fKopy74weus,12534329,2070230460,373440
YykjpeuMNEk,14558276,1987625129,396263
2S24-y0Ij3Y,25161481,1901183785,2480598
LjhCEhWiKXk,8157452,1898024467,245748
YVkUvmDQ3HY,13105010,1811421815,366752
1G4isv_Fylg,9029182,1804797362,351547
L3wKzyIN1yk,11866645,1804514185,244717
JRfuAukYTKg,8811763,1789284912,300992
hTWKbfoikeg,12931352,1768602607,498842
gdZLi9oWNZg,37005167,1768301880,15880229
NGLxoKOvzu4,9885742,1764600822,253427
