,video_id,view_count,like_count,comment_count,wikipedia_categories,duration
0,JGwWNGJdvx8,6194581435,32579926,1151159,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M24S
1,09R8_2nJtjg,4001321140,15999228,421222,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT5M2S
2,pRpeEdMmmQ0,3849148681,22158026,1323737,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M31S
3,lp-EO5I60KA,3727954531,15015651,373270,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M57S
4,2Vv-BfVoq4g,3663283729,20788644,517411,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M40S
5,aJOTlE1K90k,3555877954,21519642,662781,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M31S
6,YqeW9_5kURI,3543081973,17099047,454935,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M59S
7,YQHsXMglC9A,3123055001,18711818,947202,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT6M7S
8,k2qgadSvNyU,3004176294,17453799,378861,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M45S
9,fLexgOxsZu0,2704092791,14606344,544204,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M20S
10,2vjPBrBU-TM,2673971633,12982728,584931,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M52S
11,7wtfhZwyrcc,2587937306,21623408,629985,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M37S
12,rYEDA3JcQqw,2451052035,12873699,425388,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M54S
13,rtOvBOTyX00,2394651465,14834953,501098,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M48S
14,PMivT7MJ41M,2250744660,13289448,386783,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rhythm_and_blues']",PT3M31S
15,8UVNT4wvIGY,2216695215,15688069,812973,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M4S
16,kXYiU_JCYtU,2172801320,13474974,575951,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M8S
17,l0U7SxXHkPY,2154861518,10119084,227028,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT5M36S
18,hLQl3WQQoQ0,2149338123,10478817,361610,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M45S
19,V1Pl8CzNzCw,1989875548,26439676,592275,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M21S
20,5qm8PH4xAss,1985326407,12123831,319129,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M8S
21,LjhCEhWiKXk,1919132895,8242612,246868,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M57S
22,YVkUvmDQ3HY,1858053799,13428108,375664,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M58S
23,hTWKbfoikeg,1800168056,13110136,502691,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M39S
24,qrO4YZeyl0I,1783060096,8927176,891931,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT5M9S
25,6NXnxTNIWkc,1722989448,7353800,199082,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M53S
26,eVTXPUF4Oz4,1707898757,11334446,431341,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M39S
27,UqyT8IEBkvY,1644396055,8371889,243947,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M47S
28,nCkpzqqog4k,1631475688,6677904,142539,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Soul_music']",PT4M40S
