,video_id,title,channel_id,channel_title,description
0,XoiOOiuH8iI,Tyla - Water (Official Music Video),UCr2xjaS7CIx1OY7hYwrXb8A,TylaVEVO,Tyla - Water (Official Music Video) Listen To “Water” now: https://Tyla.lnk.to/Water Watch the Official Music Video: ...
1,suAR1PYFNYA,Dua Lipa - Houdini (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,"Limited edition Houdini CD and cassettes, this week only: https://wmg.lnk.to/houdini Subscribe to the Dua Lipa channel for all the ..."
2,UqyT8IEBkvY,Bruno Mars - 24K Magic (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""24K Magic"" from the album '24K Magic'. Subscribe for the latest official music videos, ..."
3,SR6iYWJxHqs,Bruno Mars - Grenade (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for ""Grenade"" by Bruno Mars from the album 'Doo-Wops and Hooligans'. Directed by Nabil ""Today, I get to ..."
4,XzOvgu3GPwY,Taylor Swift ft. Ice Spice - Karma (Official Music Video),UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,Listen to “Karma (feat. Ice Spice)” by Taylor Swift. Buy/Download/Stream 'Midnights (The Til Dawn Edition)': ...
5,5anLPw0Efmo,Evanescence - My Immortal (Official Music Video),UCDDmukrq0bwckrp09bNt-Rw,EvanescenceVEVO,"Watch the official music video for ""My Immortal"" performed by Evanescence Music video by Evanescence performing My Immortal."
6,LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],UCs8ynQgjoKZblUXosXoeOEQ,Lukas Graham,Watch the official music video for 7 Years by Lukas Graham from the self-titled album. Subscribe to the channel: ...
7,DXztav3aQ_c,Kodak Black - 2&#39;CY [Official Music Video],UCrQTubm_Kt2W42Vi2dvzCBQ,KodakBlackVEVO,"Kodak Black - 2'CY [Official Music Video] ""2'CY"" on 'When I Was Dead' Out Now Stream/Download: ..."
8,kiB9qk4gnt4,Kodak Black - Super Gremlin [Official Music Video],UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,Kodak Black - Super Gremlin [Official Music Video] Snipergang Presents: Sykobob & Snapkatt: Nightmare Babies OUT NOW!
9,fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""The Lazy Song"" from the album 'Doo-Wops and Hooligans''. Stream: ..."
10,LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""Just The Way You Are"" from the album 'Doo-Wops & Hooligans'. Directed by Ethan Lader ..."
11,09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,Buy Sugar on iTunes: http://smarturl.it/M5V Sign up for updates: http://smarturl.it/Maroon5.News Catch Maroon 5 on tour all year ...
12,E5ONTXHS2mM,Desiigner - Panda (Official Music Video),UCuoH9aFpJT0HltXb0XrKRNQ,DesiignerVEVO,"Watch the official music video for Desiigner's debut single, “Panda” http://smarturl.it/dPanda Creative by Kanye West and Paul ..."
13,ekzHIouo8Q4,Bruno Mars - When I Was Your Man (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""When I Was Your Man"" from the album 'Unorthodox Jukebox'. Directed by Cameron ..."
14,L_jWHffIx5E,Smash Mouth - All Star (Official Music Video),UCgGEU8jHmCNtFI7n_AG-03g,SmashMouthVEVO,REMASTERED IN HD! Smash Mouth's official music video for 'All Star'. Revisit more 90's music videos: ...
15,3YxaaGgTQYM,Evanescence - Bring Me To Life (Official HD Music Video),UCDDmukrq0bwckrp09bNt-Rw,EvanescenceVEVO,"Official HD music video for “Bring Me To Life,” taken from the band's multi-platinum debut Fallen. Evanescence are celebrating the ..."
16,r00ikilDxW4,Green Day - 21 Guns [Official Music Video],UCqC_GY2ZiENFz2pwL0cSfAw,Green Day,Watch the official music video for 21 Guns by Green Day from the album 21st Century Breakdown. Subscribe to the channel: ...
17,rKFx0MMqb48,Kid Rock - Picture feat. Sheryl Crow [Official Music Video],UCjwhEPNX5rsU6gl_8qZMQZg,Kid Rock,Watch the official music video for Picture by Kid Rock ft. Sheryl Crow from the album Cocky. Subscribe to the channel: ...
18,E-a4n4pv7gY,Kevin Gates - Yonce Freestyle feat. Sexyy Red &amp; BG (Official Music Video),UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,Kevin Gates - Yonce Freestyle feat. Sexyy Red & BG Pre-Save 'The Ceremony' NOW! https://kevingates.lnk.to/TheCeremony ...
19,XWJrPzAUzAs,Shaggy - Angel ft. Rayvon (Official Music Video),UC6itD5EKLCgriSi_k2lpoxg,ShaggyVEVO,Best of Shaggy: https://goo.gl/HxZBgh Subscribe here: https://goo.gl/JLWVYe Music video by Shaggy performing Angel. (C) 2001 ...
20,WXBHCQYxwr0,Ava Max - Sweet but Psycho [Official Music Video],UCOwgc8DswjoBMuuUU2ScPvQ,Ava Max,"Listen to my debut album ""Heaven & Hell"" now: https://AvaMax.lnk.to/HeavenandHellID ""Sweet but Psycho"" Available Now ..."
21,YlUKcNNmywk,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers,Watch the official music video for Californication by Red Hot Chili Peppers from the album Californication. Subscribe to the ...
22,u9Dg-g7t2l4,Disturbed  - The Sound Of Silence (Official Music Video) [4K UPGRADE],UCveWMJeHgcIUPMnFzd7Vxjg,Disturbed,New album Divisive out now: https://Disturbed.lnk.to/Divisive Subscribe to the channel: ...
23,2xWkATdMQms,CJ - WHOOPTY [Official Music Video],UCfgzyX8VuStff4elIxAN2Ag,Real CJ,Watch the official music video for Whoopty by CJ. Stream: https://apple.co/3vlRI9N Subscribe to the channel: ...
24,SgIpXszkMd4,"Pablo YG, Ishawna - Business (Official Music Video)",UC99Yve3E7ylF_8kUbRd5Atw,PabloYGVEVO,"Stream | Download : https://orcd.co/businesspabloygishawna Business - Pablo YG, Ishawna | Official Music Video From 'Rich ..."
25,xVEKfg49Fb8,Lyodra - Tak Dianggap (Official Music Video),UCaAE5pyrskvGdHmypXxqncA,LyodraVEVO,Lyodra's official music video for single 'Tak Dianggap” Download and Stream: https://lnk.to/LyodraTakDianggapVD #Lyodra ...
26,B4Qt_kFBayg,BERRY - Napjaim | Official Music Video,UCqv7QgmcEmkUsMHc3BpuLcQ,BERRY,"Z E N E ☆ szöveg: BERRY ☆ zene, hangszerelés, mix-master: Somogyvári Dani V I D E O K L I P ☆ Rendezés/vágás/utómunka ..."
27,AX6OrbgS8lI,AUR - TU HAI KAHAN - Raffey - Usama - Ahad (Official Music Video),UCrHQf1k-GtPByMHRsJjxO5g,AUR,Stream on Spotify (https://spotify.link/Vx27hu2KUDb) Stream on Wynk Music: https://wynk.in/u/iw6Nctds5 Written/Performed By: ...
28,G7KNmW9a75Y,Miley Cyrus - Flowers (Official Video),UCdI8evszfZvyAl2UVCypkTA,MileyCyrusVEVO,Official Video for “Flowers” by Miley Cyrus Listen to & Download “Flowers” out now: https://mileycyrus.lnk.to/Flowers Pre-Order ...
29,1VKAM0aMJtw,Wiz Khalifa - Heavy Hitters [Official Music Video],UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,Wiz Khalifa - Heavy Hitters [Official Music Video] Stream/Download → https://stem.ffm.to/decisions Directed by CBfour.co ...
30,cPj9r2ePJbE,Salma Salsabil - Bunga Hati (Official Music Video),UCIRRlqZILMKhG3aRhWGuyXQ,SalmaSalsabilVEVO,Salma Salsabil's official music video for single 'Bunga Hati' Download and Stream: https://lnk.to/SalmaBungaHatiVD ...
31,oOotG8xGRt8,Nabila Taqiyyah - Ku Ingin Pisah (Official Music Video),UCR8-aFnHqeSFnzHDmpiuJQg,NabilaTaqiyyahVEVO,Nabila Taqiyyah's official music video for single 'Ku Ingin Pisah' Download and Stream: https://lnk.to/NabilaKuInginPisahVD ...
32,COWCz6VhTaU,MAHALINI - INI LAGUKU (OFFICIAL MUSIC VIDEO),UCYJo04cZFlwL3XNnJ8aYtTw,HITS Records,Listen on all music platforms: https://smarturl.it/fabula #mahalini #IniLaguku #OfficialMusicVideo ...
33,7qaHdHpSjX8,Brett Young - In Case You Didn&#39;t Know (Official Music Video),UChpgnPWp9RsKODOmExta_TA,BrettYoungVEVO,Click here to purchase Brett's new self-titled album including “In Case You Didn't Know”: iTunes / Google Play: ...
