video_id,title,channel_id,channel_title,description
XoiOOiuH8iI,Tyla - Water (Official Music Video),UCr2xjaS7CIx1OY7hYwrXb8A,TylaVEVO,Tyla - Water (Official Music Video) Listen To “Water” now: https://Tyla.lnk.to/Water Watch the Official Music Video: ...
suAR1PYFNYA,Dua Lipa - Houdini (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,"Limited edition Houdini CD and cassettes, this week only: https://wmg.lnk.to/houdini Subscribe to the Dua Lipa channel for all the ..."
UqyT8IEBkvY,Bruno Mars - 24K Magic (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""24K Magic"" from the album '24K Magic'. Subscribe for the latest official music videos, ..."
SR6iYWJxHqs,Bruno Mars - Grenade (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for ""Grenade"" by Bruno Mars from the album 'Doo-Wops and Hooligans'. Directed by Nabil ""Today, I get to ..."
XzOvgu3GPwY,Taylor Swift ft. Ice Spice - Karma (Official Music Video),UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,Listen to “Karma (feat. Ice Spice)” by Taylor Swift. Buy/Download/Stream 'Midnights (The Til Dawn Edition)': ...
LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],UCs8ynQgjoKZblUXosXoeOEQ,Lukas Graham,Watch the official music video for 7 Years by Lukas Graham from the self-titled album. Subscribe to the channel: ...
5anLPw0Efmo,Evanescence - My Immortal (Official Music Video),UCDDmukrq0bwckrp09bNt-Rw,EvanescenceVEVO,"Watch the official music video for ""My Immortal"" performed by Evanescence Music video by Evanescence performing My Immortal."
RlPNh_PBZb4,Olivia Rodrigo - vampire (Official Video),UCxE5jEls-T0QtlTHT8lI1lw,OliviaRodrigoVEVO,Listen to vampire out now: https://OliviaRodrigo.lnk.to/vampire Store: https://OliviaRodrigo.lnk.to/store Create a Short to vampire: ...
kiB9qk4gnt4,Kodak Black - Super Gremlin [Official Music Video],UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,Kodak Black - Super Gremlin [Official Music Video] Snipergang Presents: Sykobob & Snapkatt: Nightmare Babies OUT NOW!
LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""Just The Way You Are"" from the album 'Doo-Wops & Hooligans'. Directed by Ethan Lader ..."
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""The Lazy Song"" from the album 'Doo-Wops and Hooligans''. Stream: ..."
nPvuNsRccVw,Bruno Mars - Treasure (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""Treasure"" from the album 'Unorthodox Jukebox'. Subscribe for the latest official music ..."
