video_id,title,channel_id,channel_title,description
kJQP7kiw5Fk,Luis Fonsi - Despacito ft. Daddy Yankee,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,Despacito” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/DOoUzFp “Imposible” disponible ya en todas las ...
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"The official music video for Ed Sheeran - Shape Of You Subtract, the new album, out 05.05.2023. Pre-order: es.lnk.to/subtract ..."
RgKAFK5djSk,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,UCLxOm-UQ1gtyQgfz8Rn34iQ,Wiz Khalifa Music,Download the new Furious 7 Soundtrack Deluxe Version on iTunes here: https://apple.co/3paGCzN See Wiz on tour ...
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,UCmfFGTSsfJVu6CGvL8r75qg,MarkRonsonVEVO,Official Video for Uptown Funk by Mark Ronson ft. Bruno Mars Listen to Mark Ronson: https://MarkRonson.lnk.to/listenYD ...
09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,Buy Sugar on iTunes: http://smarturl.it/M5V Sign up for updates: http://smarturl.it/Maroon5.News Catch Maroon 5 on tour all year ...
hT_nvWreIhg,OneRepublic - Counting Stars,UCQ5kHOKpF3-1_UCKaqXARRg,OneRepublicVEVO,Stream & Download OneRepublic's latest album “Human”: https://OneRepublic.lnk.to/Human Listen to OneRepublic: Spotify: ...
CevxZvSJLk8,Katy Perry - Roar,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,"Katy Perry's new album ""Smile"" out August 28 - http://katy.to/smileID Listen to Katy's new song “Smile”: https://katy.to/smileID Get ..."
pRpeEdMmmQ0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,"Watch the official music video for ""Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song]"" by Shakira ..."
lp-EO5I60KA,Ed Sheeran - Thinking Out Loud (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"The official music video for Ed Sheeran - Thinking Out Loud Subtract, the new album, out 05.05.2023. Pre-order: ..."
0KSOMA3QBU0,Katy Perry - Dark Horse ft. Juicy J,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,"Listen to Katy's new song “Smile”: https://katy.to/smileID Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM Katy ..."
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"The official music video for Ed Sheeran - Perfect Subtract, the new album, out 05.05.2023. Pre-order: https://es.lnk.to/subtract ..."
60ItHLz5WEA,Alan Walker - Faded,UCJrOtniJ0-NWz37R30urifQ,Alan Walker,Listen to 'Walkerworld' here https://lnk.to/walkerworld Thanks for all the love Walkers! - Alan Remember to subscribe to the ...
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,"""Girls Like You” is out now. http://smarturl.it/GLY For more, visit: https://www.facebook.com/maroon5 https://twitter.com/maroon5 ..."
YqeW9_5kURI,Major Lazer &amp; DJ Snake - Lean On (feat. MØ) (Official Music Video),UCMJ5Qf3sOvQpcYiai1Noa3Q,Major Lazer Official,"Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video) ""India is special and its beauty absolutely humbled me."
nfWlot6h_JM,Taylor Swift - Shake It Off,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,Exclusive Merch: https://store.taylorswift.com ▻Follow Taylor Swift Online Instagram: http://www.instagram.com/taylorswift ...
e-ORhEE9VVg,Taylor Swift - Blank Space,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,Exclusive Merch: https://store.taylorswift.com ▻Follow Taylor Swift Online Instagram: http://www.instagram.com/taylorswift ...
YQHsXMglC9A,Adele - Hello (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,"Listen to ""Easy On Me"" here: http://Adele.lnk.to/EOM Pre-order Adele's new album ""30"" before its release on November 19: ..."
kffacxfA7G4,Justin Bieber - Baby ft. Ludacris,UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,REMASTERED IN HD! UP TO 4K! Official Music Video for Baby performed by Justin Bieber (ft. Ludacris). Follow Justin Instagram: ...
k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,"The official music video for Dua Lipa - New Rules Taken from her self-titled debut studio album released in 2017, which featured ..."
papuvlVeZg8,Clean Bandit - Rockabye (feat. Sean Paul &amp; Anne-Marie) [Official Video],UCvhQPdeTHzIRneScV8MIocg,Clean Bandit,Listen to our new song Don't Leave Me Lonely https://cleanbandit.lnk.to/dont-leave-me-lonelyIN Click here to subscribe: ...
pXRviuL6vMY,twenty one pilots: Stressed Out [OFFICIAL VIDEO],UClVrJwcIy7saPcGc1nct80A,Fueled By Ramen,"twenty one pilots' music video for 'Stressed Out' from the album, Blurryface - available now on Fueled By Ramen. Vessel 10th ..."
5GL9JoH4Sws,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,UC09d82usokACH1z5YeKnfiA,FifthHarmonyVEVO,Work from Home” by Fifth Harmony feat. Ty Dolla $ign Listen to Fifth Harmony: https://FifthHarmony.lnk.to/listenYD Watch more ...
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official music video for Bruno Mars' ""The Lazy Song"" from the album 'Doo-Wops and Hooligans''. Stream: ..."
